time,x,y,z
0,6999.19,75,0
10,6997.56,149.991,0
20,6995.12,224.965,0
30,6991.87,299.913,0
40,6987.8,374.826,0
50,6982.92,449.695,0
60,6977.23,524.512,0
70,6970.72,599.268,0
80,6963.41,673.954,0
90,6955.28,748.561,0
100,6946.35,823.082,0
110,6936.6,897.506,0
120,6926.05,971.827,0
130,6914.69,1046.03,0
140,6902.52,1120.12,0
150,6889.55,1194.07,0
160,6875.78,1267.89,0
170,6861.2,1341.56,0
180,6845.83,1415.07,0
190,6829.65,1488.41,0
200,6812.68,1561.58,0
210,6794.91,1634.57,0
220,6776.35,1707.37,0
230,6757,1779.97,0
240,6736.86,1852.36,0
250,6715.93,1924.54,0
260,6694.22,1996.49,0
270,6671.72,2068.2,0
280,6648.44,2139.68,0
290,6624.39,2210.9,0
300,6599.56,2281.87,0
310,6573.96,2352.57,0
320,6547.58,2422.99,0
330,6520.44,2493.13,0
340,6492.54,2562.98,0
350,6463.88,2632.52,0
360,6434.45,2701.76,0
370,6404.28,2770.68,0
380,6373.35,2839.28,0
390,6341.67,2907.54,0
400,6309.25,2975.46,0
410,6276.09,3043.03,0
420,6242.19,3110.25,0
430,6207.56,3177.1,0
440,6172.2,3243.57,0
450,6136.11,3309.67,0
460,6099.3,3375.37,0
470,6061.78,3440.68,0
480,6023.53,3505.58,0
490,5984.59,3570.07,0
500,5944.93,3634.14,0
510,5904.57,3697.78,0
520,5863.52,3760.99,0
530,5821.78,3823.75,0
540,5779.35,3886.06,0
550,5736.24,3947.92,0
560,5692.45,4009.3,0
570,5647.99,4070.21,0
580,5602.86,4130.65,0
590,5557.07,4190.59,0
600,5510.63,4250.04,0
610,5463.53,4308.98,0
620,5415.78,4367.42,0
630,5367.4,4425.34,0
640,5318.37,4482.73,0
650,5268.72,4539.6,0
660,5218.45,4595.92,0
670,5167.55,4651.71,0
680,5116.04,4706.94,0
690,5063.93,4761.61,0
700,5011.21,4815.71,0
710,4957.9,4869.25,0
720,4904,4922.2,0
730,4849.52,4974.57,0
740,4794.46,5026.35,0
750,4738.83,5077.54,0
760,4682.64,5128.11,0
770,4625.89,5178.08,0
780,4568.59,5227.43,0
790,4510.75,5276.16,0
800,4452.36,5324.26,0
810,4393.45,5371.72,0
820,4334.01,5418.55,0
830,4274.06,5464.73,0
840,4213.59,5510.25,0
850,4152.63,5555.12,0
860,4091.16,5599.32,0
870,4029.21,5642.86,0
880,3966.77,5685.72,0
890,3903.86,5727.89,0
900,3840.49,5769.39,0
910,3776.65,5810.19,0
920,3712.36,5850.3,0
930,3647.63,5889.7,0
940,3582.46,5928.4,0
950,3516.86,5966.39,0
960,3450.84,6003.67,0
970,3384.4,6040.22,0
980,3317.56,6076.04,0
990,3250.31,6111.14,0
