time,x,y,z
0,3182.88,6145.87,0
10,3115.06,6179.86,0
20,3046.87,6213.11,0
30,2978.31,6245.61,0
40,2909.39,6277.35,0
50,2840.12,6308.35,0
60,2770.51,6338.58,0
70,2700.57,6368.05,0
80,2630.3,6396.75,0
90,2559.71,6424.69,0
100,2488.82,6451.84,0
110,2417.62,6478.22,0
120,2346.14,6503.82,0
130,2274.37,6528.64,0
140,2202.33,6552.67,0
150,2130.02,6575.9,0
160,2057.45,6598.35,0
170,1984.64,6619.99,0
180,1911.59,6640.84,0
190,1838.3,6660.89,0
200,1764.79,6680.13,0
210,1691.07,6698.56,0
220,1617.15,6716.18,0
230,1543.03,6732.99,0
240,1468.72,6748.99,0
250,1394.24,6764.17,0
260,1319.59,6778.54,0
270,1244.77,6792.08,0
280,1169.81,6804.8,0
290,1094.71,6816.69,0
300,1019.47,6827.76,0
310,944.107,6838.01,0
320,868.632,6847.42,0
330,793.051,6856,0
340,717.374,6863.76,0
350,641.611,6870.68,0
360,565.769,6876.76,0
370,489.858,6882.02,0
380,413.889,6886.43,0
390,337.869,6890.02,0
400,261.808,6892.76,0
410,185.715,6894.67,0
420,109.599,6895.74,0
430,33.4705,6895.97,0
440,-42.6623,6895.36,0
450,-118.79,6893.92,0
460,-194.903,6891.64,0
470,-270.993,6888.52,0
480,-347.049,6884.56,0
490,-423.063,6879.76,0
500,-499.026,6874.13,0
510,-574.928,6867.66,0
520,-650.76,6860.35,0
530,-726.513,6852.21,0
540,-802.177,6843.23,0
550,-877.744,6833.42,0
560,-953.203,6822.77,0
570,-1028.55,6811.3,0
580,-1103.76,6798.99,0
590,-1178.85,6785.85,0
600,-1253.79,6771.89,0
610,-1328.57,6757.1,0
620,-1403.2,6741.48,0
630,-1477.65,6725.05,0
640,-1551.92,6707.79,0
650,-1626.01,6689.71,0
660,-1699.89,6670.81,0
670,-1773.57,6651.1,0
680,-1847.03,6630.58,0
690,-1920.26,6609.24,0
700,-1993.26,6587.1,0
710,-2066.02,6564.15,0
720,-2138.52,6540.4,0
730,-2210.76,6515.85,0
740,-2282.73,6490.51,0
750,-2354.42,6464.36,0
760,-2425.83,6437.43,0
770,-2496.93,6409.71,0
780,-2567.73,6381.2,0
790,-2638.22,6351.91,0
800,-2708.38,6321.85,0
810,-2778.21,6291.01,0
820,-2847.7,6259.39,0
830,-2916.84,6227.02,0
840,-2985.63,6193.87,0
850,-3054.05,6159.97,0
860,-3122.09,6125.31,0
870,-3189.75,6089.91,0
880,-3257.02,6053.75,0
890,-3323.89,6016.85,0
900,-3390.35,5979.21,0
910,-3456.39,5940.84,0
920,-3522.02,5901.74,0
930,-3587.2,5861.92,0
940,-3651.95,5821.37,0
950,-3716.25,5780.12,0
960,-3780.09,5738.15,0
970,-3843.47,5695.47,0
980,-3906.38,5652.1,0
990,-3968.81,5608.03,0
